class1,class2,domain1,domain2,GT,GT_ratio_order,coqex_precision,wikidata_precision,gpt3_few_shot_cardinality_precision,acc_root_majority_wikidata,acc_root_ttest_majority_wikidata,acc_root_ttest_wikidata,acc_root_majority_coqex,acc_root_ttest_coqex,acc_root_ttest_majority_coqex,acc_root_majority_gpt3,acc_root_ttest_gpt3,acc_root_ttest_majority_gpt3,acc_majority_root_majority,acc_majority_root_majority_ttest,acc_majority_root_ttest,acc_supervised_root_maj_ttest,acc_supervised_root_majority,acc_supervised_root_ttest
amphibian,helicopter,species,man-made_object,-1,0,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
bacteria,smartphone,species,man-made_object,-1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1
bee,spacecraft,species,man-made_object,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
bird,helicopter,species,man-made_object,-1,0,1,0,1,0,0,0,1,1,1,1,1,0,1,0,1,0,1,1
bird,satellite,species,man-made_object,1,0,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1
bird,skyscraper,species,man-made_object,1,0,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
bird,spacecraft,species,man-made_object,1,0,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
fish,spacecraft,species,man-made_object,1,0,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
fish,wind turbine,species,man-made_object,-1,0,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
grass,skyscraper,species,man-made_object,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
grass,spacecraft,species,man-made_object,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
phytoplankton,satellite,species,man-made_object,1,0,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
plant,helicopter,species,man-made_object,1,0,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1
snake,observatory,species,man-made_object,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
spider,wind turbine,species,man-made_object,-1,0,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
fish,airline pilot,species,occupation,-1,0,1,1,,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1
fish,NBA player,species,occupation,1,0,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
fungus,journalist,species,occupation,1,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1
grass,NBA player,species,occupation,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
tree,airline pilot,species,occupation,-1,0,1,1,,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1
amphibian,coal power plant,species,organization,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
bee,coal power plant,species,organization,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
bird,football club,species,organization,1,0,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
butterfly,conglomerate,species,organization,1,0,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1
butterfly,hospital,species,organization,-1,0,0,0,1,0,1,0,0,0,0,1,1,1,0,1,0,1,1,1
fish,publisher,species,organization,1,0,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
mammal,conglomerate,species,organization,1,0,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1
mammal,publisher,species,organization,-1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
mammal,tea company,species,organization,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
phytoplankton,football club,species,organization,1,0,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
plant,public library,species,organization,1,0,1,1,0,1,0,1,1,1,1,0,0,0,1,0,1,0,0,1
snake,conglomerate,species,organization,1,0,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,1,0,1
snake,tea company,species,organization,1,0,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1
spider,university,species,organization,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
tree,publisher,species,organization,1,0,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
bird,amphibian,species,species,1,0,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1
fish,butterfly,species,species,1,0,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1
fish,mammal,species,species,1,0,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
fungus,insect,species,species,-1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
mammal,butterfly,species,species,-1,0,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
plant,tree,species,species,1,0,1,1,,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1
snake,mammal,species,species,-1,0,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
bacteria,highway,species,geographical_entity,1,6,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
bacteria,bee,species,species,1,5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
bacteria,painting,species,creative_work,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bacteria,hospital,species,organization,1,4,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
bacteria,patent,species,creative_work,1,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
bacteria,lawyer,species,occupation,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
religious text,animation feature film,creative_work,creative_work,-1,2,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
lake,painting,geographical_entity,creative_work,1,2,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
lake,helicopter,geographical_entity,man-made_object,1,2,0,1,0,1,1,1,0,0,0,0,0,1,0,1,0,1,1,0
lake,merchant ship,geographical_entity,man-made_object,1,2,0,1,0,1,1,1,0,0,0,0,0,1,0,1,0,1,1,0
fashion designer,highway,occupation,geographical_entity,1,2,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
journalist,island,occupation,geographical_entity,1,2,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,0,1,0
snake,religious text,species,creative_work,1,2,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
bacteria,researcher,species,occupation,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bee,actor,species,occupation,-1,2,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
fish,politician,species,occupation,-1,2,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0
mobile app,song,creative_work,creative_work,-1,1,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,0,1,0
religious text,percussion instrument,creative_work,man-made_object,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
video game,merchant ship,creative_work,man-made_object,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
island,board game,geographical_entity,creative_work,-1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
castle,dam,geographical_entity,geographical_entity,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
city,highway,geographical_entity,geographical_entity,1,1,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0
volcano,world heritage site,geographical_entity,geographical_entity,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0
castle,oil tanker,geographical_entity,man-made_object,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
lake,wind turbine,geographical_entity,man-made_object,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
dam,public library,geographical_entity,organization,-1,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
highway,bank,geographical_entity,organization,-1,1,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0
highway,publisher,geographical_entity,organization,-1,1,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0
highway,university,geographical_entity,organization,-1,1,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0
island,bank,geographical_entity,organization,-1,1,1,0,1,0,0,0,1,1,1,1,1,0,1,0,1,0,0,0
architect,painting,occupation,creative_work,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
police officer,song,occupation,creative_work,-1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
fashion designer,dam,occupation,geographical_entity,1,1,0,0,,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
fashion designer,skyscraper,occupation,man-made_object,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
politician,wind turbine,occupation,man-made_object,1,1,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0
fashion designer,football club,occupation,organization,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
animation studio,religious text,organization,creative_work,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bacteria,scientific paper,species,creative_work,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
bee,video game,species,creative_work,-1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
bird,video game,species,creative_work,-1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
bee,castle,species,geographical_entity,-1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
butterfly,castle,species,geographical_entity,-1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
butterfly,highway,species,geographical_entity,1,1,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0
fish,castle,species,geographical_entity,-1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
spider,castle,species,geographical_entity,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tree,castle,species,geographical_entity,-1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
bacteria,school teacher,species,occupation,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
bee,airline pilot,species,occupation,-1,1,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0
bee,physicist,species,occupation,-1,1,0,1,1,1,1,1,0,0,0,1,1,0,1,0,1,0,1,0
fish,journalist,species,occupation,-1,1,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0
spider,journalist,species,occupation,-1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
tree,actor,species,occupation,-1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
fungus,fish,species,species,1,1,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0
fungus,spider,species,species,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0
board game,play,creative_work,creative_work,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
film,video game,creative_work,creative_work,-1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
video game,painting,creative_work,creative_work,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
board game,merchant ship,creative_work,man-made_object,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
painting,helicopter,creative_work,man-made_object,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0
play,skyscraper,creative_work,man-made_object,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
website,smartphone,creative_work,man-made_object,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
dam,board game,geographical_entity,creative_work,-1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
desert,religious text,geographical_entity,creative_work,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lake,song,geographical_entity,creative_work,-1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
nuclear power plant,national dance,geographical_entity,creative_work,1,0,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0
river,video game,geographical_entity,creative_work,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
volcano,animation feature film,geographical_entity,creative_work,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
desert,ancient civilization,geographical_entity,geographical_entity,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
highway,zoo,geographical_entity,geographical_entity,-1,0,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0
island,city,geographical_entity,geographical_entity,-1,0,1,0,,0,0,0,1,1,1,1,0,1,1,1,0,0,0,0
island,dam,geographical_entity,geographical_entity,-1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0
island,volcano,geographical_entity,geographical_entity,-1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
desert,formula one circuit,geographical_entity,man-made_object,1,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0
highway,skyscraper,geographical_entity,man-made_object,-1,0,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0
highway,spacecraft,geographical_entity,man-made_object,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
island,spacecraft,geographical_entity,man-made_object,-1,0,1,0,1,0,0,0,1,1,1,1,1,0,1,0,1,0,0,0
ancient civilization,cryptocurrency exchange,geographical_entity,organization,-1,0,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0
castle,fast food restaurant,geographical_entity,organization,1,0,0,,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
highway,coal power plant,geographical_entity,organization,-1,0,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0
national park,coal power plant,geographical_entity,organization,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
volcano,conglomerate,geographical_entity,organization,1,0,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,0,1,0
volcano,football club,geographical_entity,organization,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
airline pilot,film,occupation,creative_work,-1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
astronaut,national dance,occupation,creative_work,1,0,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0
journalist,video game,occupation,creative_work,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
politician,patent,occupation,creative_work,1,0,1,1,0,1,1,1,1,1,0,0,0,0,1,0,1,0,0,0
airline pilot,river,occupation,geographical_entity,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
journalist,river,occupation,geographical_entity,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NBA player,zoo,occupation,geographical_entity,-1,0,1,0,,0,0,0,1,1,1,1,0,1,1,1,0,1,1,0
fashion designer,helicopter,occupation,man-made_object,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
fashion designer,merchant ship,occupation,man-made_object,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
actor,journalist,occupation,occupation,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
police officer,dentist,occupation,occupation,1,0,0,1,0,1,1,1,0,0,1,0,0,0,0,1,0,1,1,0
airline pilot,cooperative,occupation,organization,-1,0,0,0,,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
astronaut,animation studio,occupation,organization,1,0,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0
journalist,hospital,occupation,organization,1,0,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0
physicist,cooperative,occupation,organization,-1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
airline,animation feature film,organization,creative_work,-1,0,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0
animation studio,national dance,organization,creative_work,-1,0,0,0,,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
university,board game,organization,creative_work,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
coal power plant,oil tanker,organization,man-made_object,-1,0,0,0,,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
animation studio,cryptocurrency exchange,organization,organization,-1,0,1,0,1,0,0,0,1,1,1,1,1,0,1,0,1,0,0,0
hospital,travel agency,organization,organization,-1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
bee,board game,species,creative_work,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
grass,board game,species,creative_work,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
grass,play,species,creative_work,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mammal,animation feature film,species,creative_work,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
phytoplankton,play,species,creative_work,-1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
plant,video game,species,creative_work,-1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
spider,board game,species,creative_work,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
butterfly,airport,species,geographical_entity,-1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
fish,city,species,geographical_entity,-1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
grass,volcano,species,geographical_entity,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
phytoplankton,dam,species,geographical_entity,-1,0,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0
butterfly,merchant ship,species,man-made_object,-1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0
butterfly,skyscraper,species,man-made_object,1,0,1,1,0,1,0,1,1,1,1,0,0,0,1,0,1,1,1,0
mammal,spacecraft,species,man-made_object,-1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
phytoplankton,spacecraft,species,man-made_object,-1,0,0,1,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
spider,helicopter,species,man-made_object,-1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
fungus,dentist,species,occupation,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
plant,actor,species,occupation,-1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
plant,physicist,species,occupation,-1,0,0,0,1,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0
amphibian,university,species,organization,-1,0,0,1,1,1,1,1,0,0,0,1,1,0,1,0,1,0,1,0
bee,bank,species,organization,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
bird,university,species,organization,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
grass,university,species,organization,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
phytoplankton,bank,species,organization,-1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
phytoplankton,university,species,organization,-1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
plant,fast food restaurant,species,organization,-1,0,0,,1,1,1,0,0,0,0,1,1,1,1,1,0,1,1,0
bird,phytoplankton,species,species,1,0,0,1,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
religious text,smartphone,creative_work,man-made_object,-1,8,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,,,
website,space station,creative_work,man-made_object,1,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
space station,bicycle,man-made_object,man-made_object,-1,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
bacteria,religious text,species,creative_work,1,8,0,1,1,0,0,1,0,0,0,1,1,1,0,0,1,,,
book,space station,creative_work,man-made_object,1,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
national dance,smartphone,creative_work,man-made_object,-1,7,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,,,
religious text,bicycle,creative_work,man-made_object,-1,7,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,,,
scientific paper,space station,creative_work,man-made_object,1,7,0,1,1,0,0,1,0,0,0,1,1,1,0,0,1,,,
song,space station,creative_work,man-made_object,1,7,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,,,
ancient civilization,website,geographical_entity,creative_work,-1,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
desert,website,geographical_entity,creative_work,-1,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
ancient civilization,bicycle,geographical_entity,man-made_object,-1,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
desert,bicycle,geographical_entity,man-made_object,-1,7,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,,,
desert,smartphone,geographical_entity,man-made_object,-1,7,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,,,
lake,space station,geographical_entity,man-made_object,1,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
formula one circuit,bicycle,man-made_object,man-made_object,-1,7,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,,,
formula one circuit,smartphone,man-made_object,man-made_object,-1,7,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,,,
percussion instrument,smartphone,man-made_object,man-made_object,-1,7,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,,,
submarine,smartphone,man-made_object,man-made_object,-1,7,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,,,
astronaut,smartphone,occupation,man-made_object,-1,7,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,,,
nurse,space station,occupation,man-made_object,1,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
school teacher,space station,occupation,man-made_object,1,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
animation studio,smartphone,organization,man-made_object,-1,7,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,,,
cryptocurrency exchange,smartphone,organization,man-made_object,-1,7,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,,,
bacteria,national dance,species,creative_work,1,7,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,,,
bacteria,ancient civilization,species,geographical_entity,1,7,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,,,
bacteria,desert,species,geographical_entity,1,7,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,,,
bacteria,nuclear power plant,species,geographical_entity,1,7,0,1,1,0,0,1,0,0,1,1,1,1,0,1,1,,,
bacteria,formula one circuit,species,man-made_object,1,7,0,1,1,0,0,1,0,0,1,1,1,1,0,1,1,,,
bacteria,percussion instrument,species,man-made_object,1,7,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,,,
bacteria,submarine,species,man-made_object,1,7,0,1,1,0,0,1,0,0,1,1,1,1,0,1,1,,,
bacteria,animation studio,species,organization,1,7,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,,,
bacteria,cryptocurrency exchange,species,organization,1,7,0,1,1,0,0,1,0,0,0,1,1,1,0,0,1,,,
book,religious text,creative_work,creative_work,1,6,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,,,
scientific paper,religious text,creative_work,creative_work,1,6,0,1,1,0,0,1,0,0,0,1,1,1,0,0,1,,,
song,religious text,creative_work,creative_work,1,6,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,,,
technological invention,website,creative_work,creative_work,-1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
book,formula one circuit,creative_work,man-made_object,1,6,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,,,
mobile app,space station,creative_work,man-made_object,1,6,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,,,
national dance,bicycle,creative_work,man-made_object,-1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
patent,space station,creative_work,man-made_object,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
scientific paper,formula one circuit,creative_work,man-made_object,1,6,0,1,1,0,0,1,0,0,0,1,1,1,0,0,1,,,
song,formula one circuit,creative_work,man-made_object,1,6,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,,,
technological invention,bicycle,creative_work,man-made_object,-1,6,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,,,
technological invention,smartphone,creative_work,man-made_object,-1,6,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,,,
website,observatory,creative_work,man-made_object,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
website,percussion instrument,creative_work,man-made_object,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
website,submarine,creative_work,man-made_object,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
ancient civilization,book,geographical_entity,creative_work,-1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
ancient civilization,scientific paper,geographical_entity,creative_work,-1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
ancient civilization,song,geographical_entity,creative_work,-1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
desert,book,geographical_entity,creative_work,-1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
desert,scientific paper,geographical_entity,creative_work,-1,6,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,,,
desert,song,geographical_entity,creative_work,-1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
highway,website,geographical_entity,creative_work,-1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
island,smartphone,geographical_entity,man-made_object,-1,6,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,,,
nuclear power plant,bicycle,geographical_entity,man-made_object,-1,6,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,,,
observatory,bicycle,man-made_object,man-made_object,-1,6,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,,,
observatory,smartphone,man-made_object,man-made_object,-1,6,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,,,
percussion instrument,bicycle,man-made_object,man-made_object,-1,6,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,,,
space station,industrial robot,man-made_object,man-made_object,-1,6,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,,,
submarine,bicycle,man-made_object,man-made_object,-1,6,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,,,
astronaut,website,occupation,creative_work,-1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
school teacher,religious text,occupation,creative_work,1,6,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,,,
actor,space station,occupation,man-made_object,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
architect,space station,occupation,man-made_object,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
astronaut,bicycle,occupation,man-made_object,-1,6,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,,,
NBA player,smartphone,occupation,man-made_object,-1,6,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,,,
politician,space station,occupation,man-made_object,1,6,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,,,
