,class1,class2,domain1,domain2,GT,interdomain,weight_majority,prediction_majority,weight,wikidata,coqex,gpt,prob_lesser,prob_greater,pred,acc
3326,city,percussion instrument,geographical_entity,man-made_object,1,True,1.0,1.0,0.9998735654359294,0.9998735654359294,0.5,0.5,0.18922444175163933,0.8107755582483607,1,1
2693,board game,national dance,creative_work,creative_work,1,False,0.5263157894736842,1.0,0.9919130691120456,0.9919130691120456,0.9963380492424356,0.9999237771844498,0.08826999293390159,0.9117300070660984,1,1
4475,fashion designer,travel agency,occupation,organization,-1,True,1.0,1.0,0.9983366802233534,0.9983366802233534,-0.5,-0.5,0.579008109513113,0.420991890486887,-1,1
8006,physicist,book,occupation,creative_work,-1,True,-0.8421052631578947,-1.0,-0.5,-0.5,0.5,-0.9950853311794761,0.7533650137517114,0.24663498624828867,-1,1
2501,bird,football club,species,organization,1,True,-0.9473684210526316,-1.0,-0.9983392908695117,-0.9983392908695117,0.9830127672765743,0.999787063260013,0.22270512658730757,0.7772948734126924,1,1
6956,mammal,conglomerate,species,organization,1,True,-0.631578947368421,-1.0,0.5,0.5,0.9999358792728346,-0.02033803082987068,0.29530066020984935,0.7046993397901506,1,1
6998,mammal,hospital,species,organization,-1,True,-0.9473684210526316,-1.0,-0.9998497984960846,-0.9998497984960846,0.5,-0.5,0.6908797494850156,0.30912025051498443,-1,1
7070,mammal,publisher,species,organization,-1,True,-0.8421052631578947,-1.0,-0.9972418495971422,-0.9972418495971422,-0.5,-3.315935120817848e-06,0.6920703593426676,0.30792964065733236,-1,1
11492,volcano,animation feature film,geographical_entity,creative_work,1,True,-0.7894736842105263,-1.0,-0.5,-0.5,0.9963052627962772,-0.5,0.5592608347489098,0.44073916525109025,-1,0
10697,spider,river,species,geographical_entity,-1,True,-1.0,-1.0,-0.9971989681395894,-0.9971989681395894,-0.5,-0.5,0.8019356045489893,0.19806439545101073,-1,1
5381,grass,board game,species,creative_work,-1,True,-0.7894736842105263,-1.0,0.5,0.5,0.9999999999999898,0.5,0.18506425954213124,0.8149357404578688,1,0
2240,bee,dam,species,geographical_entity,1,True,-1.0,-1.0,-0.5,-0.5,-0.5,1.0,0.34603221417693375,0.6539677858230662,1,1
8573,plant,police officer,species,occupation,-1,True,-0.9473684210526316,-1.0,0.0019469868513932176,0.0019469868513932176,0.013286597307403614,-0.5,0.6346209042613268,0.3653790957386732,-1,1
1736,astronaut,play,occupation,creative_work,-1,True,-0.736842105263158,-1.0,-0.5,-0.5,0.5,-0.999968396454967,0.7544316202243173,0.24556837977568272,-1,1
10499,spacecraft,percussion instrument,man-made_object,man-made_object,1,False,-0.5263157894736843,-1.0,-0.004617915516610616,-0.004617915516610616,-0.0146872406287602,0.5,0.3532035500300327,0.6467964499699673,1,1
4481,fashion designer,video game,occupation,creative_work,-1,True,-0.736842105263158,-1.0,-0.9851213204585103,-0.9851213204585103,-0.010745875978822206,-0.9977452796203403,0.843760257700455,0.1562397422995449,-1,1
9671,river,desert,geographical_entity,geographical_entity,1,False,1.0,1.0,0.9973114921138098,0.9973114921138098,0.5,0.993988311969352,0.11555225904028976,0.8844477409597102,1,1
6608,lake,national park,geographical_entity,geographical_entity,1,False,0.9473684210526316,1.0,0.5,0.5,-0.5,0.9926814059035196,0.237038598575249,0.762961401424751,1,1
1754,astronaut,river,occupation,geographical_entity,-1,True,-1.0,-1.0,-0.9972651760451493,-0.9972651760451493,-0.5,-0.9938713493578074,0.8786708860675156,0.12132911393248437,-1,1
5861,hospital,tea company,organization,organization,1,False,1.0,1.0,0.9999088916042176,0.9999088916042176,-0.02082153342064058,0.999999637816984,0.15013999171150316,0.8498600082884968,1,1
4736,fish,butterfly,species,species,1,False,-0.9473684210526316,-1.0,-0.5,-0.5,0.5,0.9900359868929708,0.22786067767904317,0.7721393223209568,1,1
1349,animation studio,painting,organization,creative_work,-1,True,-0.9473684210526316,-1.0,-0.5,-0.5,-0.5,-0.5,0.755730828354536,0.244269171645464,-1,1
8297,phytoplankton,mobile app,species,creative_work,-1,True,-1.0,-1.0,-0.9994589456407359,-0.9994589456407359,0.5,-0.998048998599273,0.8006519341833092,0.19934806581669087,-1,1
6110,insect,travel agency,species,organization,1,True,-0.7894736842105263,-1.0,0.5,0.5,0.9966489867132415,0.9973095142208828,0.11245664725231364,0.8875433527476864,1,1
329,actor,physicist,occupation,occupation,1,False,1.0,1.0,0.9991270136905857,0.9991270136905857,0.5,-0.5,0.4311012009051999,0.5688987990948001,1,1
2369,bee,spacecraft,species,man-made_object,1,True,-1.0,-1.0,0.0025868005329832133,0.0025868005329832133,0.9999999999956286,1.0,0.14161804999275007,0.8583819500072499,1,1
5621,highway,book,geographical_entity,creative_work,-1,True,-1.0,-1.0,-0.984362424887931,-0.984362424887931,0.5,-0.9950849966311466,0.7987847212260308,0.20121527877396922,-1,1
1316,animation studio,cryptocurrency exchange,organization,organization,-1,False,0.7368421052631579,1.0,0.9751056443292561,0.9751056443292561,-0.5,-0.003998330390314109,0.4371671537267794,0.5628328462732206,1,0
6890,lawyer,zoo,occupation,geographical_entity,1,True,1.0,1.0,0.9836017359958311,0.9836017359958311,0.9999118888078077,0.9972147940020184,0.08871828551622873,0.9112817144837713,1,1
1553,architect,scientific paper,occupation,creative_work,-1,True,1.0,1.0,-0.0018348940066804098,-0.0018348940066804098,0.5,-0.9995445598471522,0.7010590070816962,0.2989409929183038,-1,1
788,airport,observatory,geographical_entity,man-made_object,1,True,1.0,1.0,0.5,0.5,-0.5,0.5,0.356874963485483,0.643125036514517,1,1
10196,snake,fashion designer,species,occupation,-1,True,-0.8421052631578947,-1.0,0.015815706492843584,0.015815706492843584,0.5,-0.4999998083715942,0.5633292090901441,0.43667079090985594,-1,1
1262,animation feature film,percussion instrument,creative_work,man-made_object,1,True,1.0,1.0,0.981388850778601,0.981388850778601,0.0017336141102800018,0.5,0.24080504399820413,0.7591949560017959,1,1
869,amphibian,actor,species,occupation,-1,True,-1.0,-1.0,-0.9995086877143189,-0.9995086877143189,-0.5,-0.5,0.8021340303871668,0.1978659696128332,-1,1
7862,painting,satellite,creative_work,man-made_object,1,True,0.7368421052631579,1.0,0.5,0.5,-0.5,0.5,0.356874963485483,0.643125036514517,1,1
11030,travel agency,technological invention,organization,creative_work,1,True,-0.631578947368421,-1.0,-0.5,-0.5,0.9945571173943042,0.9844768266610474,0.1811669291050666,0.8188330708949334,1,1
8048,physicist,formula one circuit,occupation,man-made_object,1,True,1.0,1.0,0.997964464259949,0.997964464259949,0.9998848294475734,0.5,0.1478236652156446,0.8521763347843554,1,1
2558,bird,observatory,species,man-made_object,1,True,-0.5789473684210527,-1.0,0.5,0.5,0.9935884513453495,0.999918588326275,0.11233207612787188,0.8876679238721281,1,1
7955,patent,wind turbine,creative_work,man-made_object,1,True,-0.9473684210526316,-1.0,0.5,0.5,-0.001961886695045323,-0.002179294463204806,0.4269294553161135,0.5730705446838865,1,1
1772,astronaut,song,occupation,creative_work,-1,True,-0.736842105263158,-1.0,-0.5,-0.5,0.5,-0.5,0.6303641902325214,0.36963580976747856,-1,1
11096,tree,conglomerate,species,organization,1,True,-0.8421052631578947,-1.0,0.5,0.5,0.5,0.5,0.23422814587958585,0.7657718541204142,1,1
155,NBA player,spacecraft,occupation,man-made_object,-1,True,0.7894736842105263,1.0,0.5,0.5,0.021962138249171426,-0.5,0.5689187914400127,0.4310812085599873,-1,1
11573,volcano,nuclear power plant,geographical_entity,geographical_entity,1,False,0.5789473684210527,1.0,0.5,0.5,0.004893067342908619,0.9803553271947486,0.1892018028889677,0.8107981971110323,1,1
1238,ancient civilization,zoo,geographical_entity,geographical_entity,-1,False,-1.0,-1.0,-0.9987139959394922,-0.9987139959394922,-0.5,0.0,0.6922392516438365,0.3077607483561635,-1,1
3632,cooperative,mobile app,organization,creative_work,-1,True,-0.7894736842105263,-1.0,-0.5,-0.5,0.5,-0.9980520993767346,0.7540134152455227,0.24598658475447727,-1,1
1439,architect,book,occupation,creative_work,-1,True,-0.8421052631578947,-1.0,-0.5,-0.5,0.5,-0.9950851686998077,0.7533649782095336,0.24663502179046634,-1,1
7880,painting,spacecraft,creative_work,man-made_object,1,True,0.9473684210526316,1.0,0.5,0.5,0.5,0.5,0.23422814587958585,0.7657718541204142,1,1
10832,tea company,merchant ship,organization,man-made_object,-1,True,-0.9473684210526316,-1.0,-0.5,-0.5,-0.5,-0.9999980061618604,0.8478786594477137,0.15212134055228627,-1,1
4373,fashion designer,helicopter,occupation,man-made_object,1,True,1.0,1.0,0.998477614572301,0.998477614572301,-0.5,-0.5,0.5789895214213432,0.42101047857865675,-1,0
5939,insect,coal power plant,species,organization,1,True,-0.9473684210526316,-1.0,0.5,0.5,0.9970099042475008,0.9973694551659136,0.11242815029542019,0.8875718497045798,1,1
5156,fungus,dentist,species,occupation,1,True,-1.0,-1.0,0.0026924276042921136,0.0026924276042921136,-0.5,-0.9997188515219391,0.8093413951335982,0.19065860486640188,-1,0
3833,dam,cryptocurrency exchange,geographical_entity,organization,1,True,1.0,1.0,0.5,0.5,0.9935567879551646,0.9999976293045671,0.11232467812830926,0.8876753218716907,1,1
986,amphibian,national dance,species,creative_work,1,True,0.631578947368421,1.0,0.5,0.5,0.9999609670624886,0.9999999999957954,0.11194462188078935,0.8880553781192106,1,1
2141,bank,scientific paper,organization,creative_work,-1,True,1.0,1.0,-0.0001370102056321154,-0.0001370102056321154,0.5,-0.999581045081808,0.700875443927053,0.2991245560729469,-1,1
104,NBA player,nurse,occupation,occupation,-1,False,-0.8421052631578947,-1.0,-0.5,-0.5,-0.9993409392096819,-0.9999937399329479,0.8824127126533632,0.11758728734663684,-1,1
3734,cryptocurrency exchange,observatory,organization,man-made_object,-1,True,-1.0,-1.0,-0.9970225510942334,-0.9970225510942334,0.5,-0.4997077397550574,0.6904794226398996,0.3095205773601004,-1,1
9338,publisher,spacecraft,organization,man-made_object,1,True,1.0,1.0,0.9990615004477814,0.9990615004477814,0.5,-0.5,0.43110989453952053,0.5688901054604795,1,1
8492,plant,fast food restaurant,species,organization,-1,True,-0.7894736842105263,-1.0,0.0,0.0,0.9908741739639476,-0.5,0.49271563982078526,0.5072843601792147,1,0
4043,dentist,national park,occupation,geographical_entity,1,True,0.5263157894736843,1.0,0.5,0.5,0.9998973341189662,0.9997235302989103,0.11198075248184103,0.888019247518159,1,1
1847,bacteria,bank,species,organization,1,True,-1.0,-1.0,0.0001370102056321154,0.0001370102056321154,-0.5,0.5,0.421043635977847,0.578956364022153,1,1
2210,bee,bank,species,organization,-1,True,-1.0,-1.0,0.0001370102056321154,0.0001370102056321154,0.9999999999928662,1.0,0.14177925976255457,0.8582207402374454,1,0
4808,fish,mammal,species,species,1,False,-1.0,-1.0,-0.5,-0.5,0.9891684102468832,0.9948589790401977,0.1798337106906288,0.8201662893093712,1,1
584,airline pilot,football club,occupation,organization,1,True,-0.8947368421052632,-1.0,-0.9911531293959253,-0.9911531293959253,0.9999977189120939,0.995417114536131,0.2211750995792917,0.7788249004207083,1,1
8423,plant,airport,species,geographical_entity,1,True,-1.0,-1.0,0.5,0.5,0.9999142237058791,0.5,0.18507196503420875,0.8149280349657912,1,1
11870,zoo,animation feature film,geographical_entity,creative_work,1,True,-0.736842105263158,-1.0,-0.5,-0.5,0.9826918745789774,0.5,0.282717326227078,0.717282673772922,1,1
2321,bee,physicist,species,occupation,-1,True,-1.0,-1.0,-0.9987414530598391,-0.9987414530598391,0.9999996775244109,-0.0009672551251360129,0.4795889173363267,0.5204110826636733,1,0
1622,astronaut,animation studio,occupation,organization,1,True,0.6842105263157895,1.0,0.5,0.5,0.5,-0.9861932350990703,0.6376311632341065,0.36236883676589343,-1,0
11726,world heritage site,animation feature film,geographical_entity,creative_work,-1,True,-1.0,-1.0,-0.981361864499465,-0.981361864499465,0.5,0.006445565625823213,0.5493381352482576,0.45066186475174236,-1,1
6497,journalist,technological invention,occupation,creative_work,1,True,1.0,1.0,0.9991768856933394,0.9991768856933394,0.9963650367196233,0.9863244943477025,0.08924572002756814,0.9107542799724319,1,1
8849,police officer,publisher,occupation,organization,1,True,-0.7894736842105263,-1.0,-0.9785504810265172,-0.9785504810265172,-0.00037649492217822766,0.5,0.47837820478460047,0.5216217952153995,1,1
5450,grass,lawyer,species,occupation,-1,True,-0.9473684210526316,-1.0,-0.984307958363795,-0.984307958363795,-0.9998928403652907,-0.9971753275051971,0.9067460665586877,0.0932539334413123,-1,1
9977,school teacher,publisher,occupation,organization,1,True,-1.0,-1.0,-0.995658846855572,-0.995658846855572,0.995984790296033,1.0,0.2210774052281269,0.7789225947718731,1,1
8507,plant,helicopter,species,man-made_object,1,True,-0.736842105263158,-1.0,0.5,0.5,0.9999029143958655,-0.5,0.42432233105288586,0.5756776689471141,1,1
9599,researcher,travel agency,occupation,organization,1,True,0.8947368421052632,1.0,0.5,0.5,0.9964617823038614,0.9875916475093172,0.11361485545435235,0.8863851445456477,1,1
11054,tree,airport,species,geographical_entity,1,True,-1.0,-1.0,-0.5,-0.5,0.5,0.5,0.34445256120225687,0.6555474387977431,1,1
6668,lake,technological invention,geographical_entity,creative_work,1,True,1.0,1.0,0.5,0.5,0.5,0.9917620343967114,0.14634790155429178,0.8536520984457082,1,1
11972,zoo,space station,geographical_entity,man-made_object,1,True,0.9473684210526316,1.0,0.9987138331677397,0.9987138331677397,0.979781838982491,0.983248521713771,0.09036961371487429,0.9096303862851257,1,1
11654,website,bicycle,creative_work,man-made_object,1,True,1.0,1.0,0.9995293109216906,0.9995293109216906,0.5,0.5,0.18925302026448854,0.8107469797355115,1,1
1583,architect,university,occupation,organization,1,True,0.631578947368421,1.0,0.9785085228906014,0.9785085228906014,0.5,-0.5,0.43383935271614626,0.5661606472838537,1,1
263,actor,film,occupation,creative_work,1,True,0.631578947368421,1.0,0.5,0.5,0.5,-0.5,0.49817629319429735,0.5018237068057027,1,1
9782,river,video game,geographical_entity,creative_work,-1,True,0.8947368421052632,1.0,0.9942301294264744,0.9942301294264744,0.5,0.002254955876260678,0.29608484854530603,0.703915151454694,1,0
8795,police officer,highway,occupation,geographical_entity,1,True,0.9473684210526316,1.0,0.9973194462795731,0.9973194462795731,0.9999604694780898,0.5,0.14786195830684046,0.8521380416931595,1,1
3755,cryptocurrency exchange,satellite,organization,man-made_object,-1,True,-1.0,-1.0,-0.9875258701582394,-0.9875258701582394,-0.5,-0.9980243719907675,0.8786303305667477,0.12136966943325236,-1,1
9446,researcher,board game,occupation,creative_work,1,True,0.7894736842105263,1.0,0.5,0.5,0.9974600295624358,0.987725761938792,0.11353909753308677,0.8864609024669132,1,1
1244,animation feature film,formula one circuit,creative_work,man-made_object,1,True,0.8421052631578947,1.0,0.5,0.5,-0.5,0.9955105565539255,0.2364367573185462,0.7635632426814538,1,1
11897,zoo,cryptocurrency exchange,geographical_entity,organization,1,True,0.9473684210526316,1.0,0.9986634764344557,0.9986634764344557,-0.5,0.9806236672666724,0.19394099624111527,0.8060590037588847,1,1
8852,police officer,religious text,occupation,creative_work,1,True,1.0,1.0,-0.0013602819442292136,-0.0013602819442292136,0.9995471095822874,0.5,0.2295483541787623,0.7704516458212377,1,1
5948,insect,cryptocurrency exchange,species,organization,1,True,-0.7894736842105263,-1.0,0.5,0.5,0.9969485895347319,0.997375998776291,0.11243102596356591,0.8875689740364341,1,1
7844,painting,observatory,creative_work,man-made_object,1,True,0.8947368421052632,1.0,0.5,0.5,-0.018170911639121823,0.5,0.29401816778803225,0.7059818322119678,1,1
11849,world heritage site,travel agency,geographical_entity,organization,-1,True,-0.8421052631578947,-1.0,-0.9970400280017007,-0.9970400280017007,-0.9944726467431151,-0.9959623976634195,0.9069346756161563,0.0930653243838437,-1,1
2783,book,oil tanker,creative_work,man-made_object,1,True,1.0,1.0,0.984754964775616,0.984754964775616,-0.5,0.995085949140095,0.1924600712011867,0.8075399287988133,1,1
1961,bacteria,patent,species,creative_work,1,True,-1.0,-1.0,0.5,0.5,-0.9984374126485912,-0.9804997027562061,0.8101393973990788,0.18986060260092122,-1,0
2678,board game,formula one circuit,creative_work,man-made_object,1,True,-1.0,-1.0,0.013254395866213187,0.013254395866213187,-0.5,0.9999828786736352,0.2861381215807929,0.7138618784192071,1,1
3770,cryptocurrency exchange,space station,organization,man-made_object,1,True,-0.5789473684210527,-1.0,0.5,0.5,0.5,0.9976047677268611,0.14549064378685572,0.8545093562131443,1,1
2885,butterfly,castle,species,geographical_entity,-1,True,-0.736842105263158,-1.0,0.010783026375501381,0.010783026375501381,0.5,0.9999994975085553,0.18115642194456816,0.8188435780554318,1,0
8735,police officer,animation feature film,occupation,creative_work,1,True,-0.5263157894736843,-1.0,-0.5,-0.5,0.9999676411143704,0.5,0.28063529841201373,0.7193647015879863,1,1
10466,space station,percussion instrument,man-made_object,man-made_object,-1,False,-0.8947368421052632,-1.0,-0.5,-0.5,-0.9922678058825207,-0.9995251761823347,0.8819174293527777,0.11808257064722227,-1,1
11831,world heritage site,song,geographical_entity,creative_work,-1,True,-1.0,-1.0,-0.9903206752517968,-0.9903206752517968,0.5,-0.5,0.6897775340413707,0.31022246595862935,-1,1
5534,grass,space station,species,man-made_object,1,True,-0.6842105263157895,-1.0,0.5,0.5,0.9999999999999896,0.9999994457121013,0.11194237548148811,0.8880576245185119,1,1
3920,dam,spacecraft,geographical_entity,man-made_object,1,True,1.0,1.0,0.5,0.5,0.9971482787675644,-0.00044657156738298065,0.2907931757600847,0.7092068242399153,1,1
8792,police officer,helicopter,occupation,man-made_object,1,True,1.0,1.0,0.9987670811216426,0.9987670811216426,0.9999641973695842,0.0,0.23801230968110643,0.7619876903188936,1,1
9530,researcher,nurse,occupation,occupation,-1,False,-0.8947368421052632,-1.0,0.5,0.5,-0.5,-0.9961525408408741,0.763588920220587,0.23641107977941297,-1,1
9332,publisher,song,organization,creative_work,-1,True,0.8947368421052632,1.0,-0.0073001541406994,-0.0073001541406994,0.5,-0.5,0.566403477274644,0.4335965227253559,-1,1
11909,zoo,formula one circuit,geographical_entity,man-made_object,1,True,0.7368421052631579,1.0,0.5,0.5,0.9827047035349138,0.9769201987413791,0.11572210935177285,0.8842778906482271,1,1
6404,journalist,island,occupation,geographical_entity,1,True,0.631578947368421,1.0,0.5,0.5,0.9922567777033856,-0.9803834019617867,0.5658778234530601,0.4341221765469399,-1,0
10775,submarine,observatory,man-made_object,man-made_object,-1,False,0.5263157894736842,1.0,0.5,0.5,0.5,-0.9840652756065913,0.6370521104778888,0.3629478895221112,-1,1
2615,bird,skyscraper,species,man-made_object,1,True,-0.8421052631578947,-1.0,0.5,0.5,0.9934509998691898,0.4965070128273738,0.1862758078912271,0.8137241921087729,1,1
1955,bacteria,oil tanker,species,man-made_object,1,True,-1.0,-1.0,0.007388527074398021,0.007388527074398021,-0.5,0.5,0.4200874911400865,0.5799125088599135,1,1
3668,cooperative,smartphone,organization,man-made_object,-1,True,0.631578947368421,1.0,0.997405344368844,0.997405344368844,0.5,-0.9997820057505742,0.5773641189227026,0.42263588107729744,-1,1
8969,politician,cryptocurrency exchange,occupation,organization,1,True,1.0,1.0,0.999054944813335,0.999054944813335,0.5,-0.020172711291397027,0.3010677708001239,0.6989322291998761,1,1
10865,tea company,satellite,organization,man-made_object,-1,True,-1.0,-1.0,-0.9881202060726314,-0.9881202060726314,2.6298223739396054e-05,-0.00021931649914652684,0.6241737792839612,0.37582622071603883,-1,1
1958,bacteria,painting,species,creative_work,1,True,-1.0,-1.0,-0.5,-0.5,-0.5,-0.5,0.755730828354536,0.244269171645464,-1,0
4685,fish,NBA player,species,occupation,1,True,-0.9473684210526316,-1.0,-0.5,-0.5,0.9984159897958012,0.999731144969364,0.17818123705412436,0.8218187629458756,1,1
6803,lawyer,observatory,occupation,man-made_object,1,True,1.0,1.0,0.984883069080746,0.984883069080746,0.999912550653133,0.9972187626893282,0.08866184093038842,0.9113381590696116,1,1
6662,lake,submarine,geographical_entity,man-made_object,1,True,1.0,1.0,0.5,0.5,0.5,0.9927143737305061,0.1462078874524787,0.8537921125475213,1,1
11639,volcano,video game,geographical_entity,creative_work,-1,True,-0.7894736842105263,-1.0,-0.9873788894763875,-0.9873788894763875,0.5,-0.9977454902987142,0.7995493885187372,0.2004506114812628,-1,1
9410,religious text,website,creative_work,creative_work,-1,False,-1.0,-1.0,-0.9994955254838588,-0.9994955254838588,-0.5,-0.5,0.8021329000566946,0.1978670999433054,-1,1
8663,play,helicopter,creative_work,man-made_object,-1,True,0.9473684210526316,1.0,0.9972464586088015,0.9972464586088015,-0.5,-0.5,0.5791518932852674,0.4208481067147326,-1,1
5087,fungus,airline,species,organization,1,True,-1.0,-1.0,0.0002307919718219087,0.0002307919718219087,0.999813973304744,-2.8238522631340857e-13,0.34904580097470295,0.650954199025297,1,1
10658,spider,painting,species,creative_work,-1,True,-0.631578947368421,-1.0,-0.5,-0.5,0.5,-0.5,0.6303641902325214,0.36963580976747856,-1,1
1922,bacteria,island,species,geographical_entity,1,True,-1.0,-1.0,-0.9969178002135342,-0.9969178002135342,0.01532776094941879,0.5,0.47852395394991853,0.5214760460500815,1,1
2606,bird,satellite,species,man-made_object,1,True,-0.736842105263158,-1.0,0.5,0.5,-0.5,0.9999204470438825,0.23550075303660278,0.7644992469633972,1,1
4271,desert,tea company,geographical_entity,organization,-1,True,0.631578947368421,1.0,0.9968313052852964,0.9968313052852964,-0.9867623652177326,-0.9999999838073161,0.7681860782219836,0.23181392177801646,-1,1
3941,dam,website,geographical_entity,creative_work,-1,True,0.631578947368421,1.0,0.5,0.5,-0.5,-0.5,0.6429842009369173,0.35701579906308273,-1,1
977,amphibian,lawyer,species,occupation,-1,True,-0.9473684210526316,-1.0,-0.9831749841279305,-0.9831749841279305,-0.9999068637773942,-0.9971661610358125,0.9066940115069506,0.09330598849304934,-1,1
8732,police officer,ancient civilization,occupation,geographical_entity,1,True,1.0,1.0,0.9987975651423564,0.9987975651423564,0.9999675584120569,0.5,0.14776068462413638,0.8522393153758636,1,1
1478,architect,formula one circuit,occupation,man-made_object,1,True,1.0,1.0,0.9974565058577628,0.9974565058577628,0.5,0.5,0.18942516546552923,0.8105748345344708,1,1
3422,coal power plant,helicopter,organization,man-made_object,-1,True,0.9473684210526316,1.0,0.9956215288092498,0.9956215288092498,-0.9962323929605434,-0.9999999999956128,0.7693052243962254,0.2306947756037746,-1,1
11198,tree,politician,species,occupation,-1,True,-1.0,-1.0,-0.9990534492972989,-0.9990534492972989,-0.5,0.5,0.5553091621966755,0.44469083780332447,-1,1
9257,publisher,coal power plant,organization,organization,1,False,0.7894736842105263,1.0,0.9955035792454363,0.9955035792454363,0.5,0.5,0.1895874645930975,0.8104125354069025,1,1
2189,bee,airline pilot,species,occupation,-1,True,-1.0,-1.0,-0.9969472016249804,-0.9969472016249804,-0.999993524433484,1.0,0.4825502913083006,0.5174497086916994,1,0
10169,snake,castle,species,geographical_entity,-1,True,-0.6842105263157895,-1.0,-0.9877536016106359,-0.9877536016106359,0.5,9.27346413372998e-05,0.5520444115178103,0.4479555884821897,-1,1
227,actor,book,occupation,creative_work,-1,True,1.0,1.0,0.9937321318919428,0.9937321318919428,0.5,-0.9950851938523144,0.5764995711932679,0.4235004288067321,-1,1
8873,police officer,space station,occupation,man-made_object,1,True,1.0,1.0,0.9987975393853528,0.9987975393853528,0.9999676210120052,0.5,0.14776068168369672,0.8522393183163033,1,1
9641,river,bicycle,geographical_entity,man-made_object,-1,True,1.0,1.0,0.9973208726742242,0.9973208726742242,-0.5,-0.9901962071946576,0.710200392300895,0.2897996076991049,-1,1
11159,tree,national dance,species,creative_work,1,True,-0.7894736842105263,-1.0,0.5,0.5,0.5,0.9773716020924796,0.14847714617309649,0.8515228538269035,1,1
8864,police officer,skyscraper,occupation,man-made_object,1,True,0.631578947368421,1.0,0.5,0.5,0.9999675141291866,0.5,0.18506717779734827,0.8149328222026517,1,1
2183,bee,actor,species,occupation,-1,True,-1.0,-1.0,-0.999542333890399,-0.999542333890399,0.5,0.9951722719398914,0.27764207211035086,0.7223579278896491,1,0
2012,bacteria,smartphone,species,man-made_object,-1,True,-1.0,-1.0,0.5,0.5,0.5,-0.9997815614093135,0.6413192981882925,0.35868070181170747,-1,1
3188,castle,satellite,geographical_entity,man-made_object,1,True,-0.6842105263157895,-1.0,0.9862313743432538,0.9862313743432538,-0.5,-9.819527968524255e-10,0.4345295429125765,0.5654704570874235,1,1
9290,publisher,mobile app,organization,creative_work,-1,True,1.0,1.0,0.9988734374702752,0.9988734374702752,0.5,-0.9981261625433802,0.5766944588017205,0.42330554119827946,-1,1
6014,insect,national dance,species,creative_work,1,True,-0.6842105263157895,-1.0,0.5,0.5,0.997031849498681,0.9973721389158807,0.112426530653431,0.887573469346569,1,1
1988,bacteria,publisher,species,organization,1,True,-1.0,-1.0,0.0009174939820790762,0.0009174939820790762,-0.5,0.5,0.42094069713214677,0.5790593028678532,1,1
590,airline pilot,helicopter,occupation,man-made_object,1,True,1.0,1.0,0.9968946709997801,0.9968946709997801,0.9999972576193152,-0.5,0.36032180724311125,0.6396781927568888,1,1
2915,butterfly,fast food restaurant,species,organization,-1,True,-0.631578947368421,-1.0,0.0,0.0,-0.5,-0.5,0.7024260371046,0.2975739628954,-1,1
2939,butterfly,industrial robot,species,man-made_object,-1,True,-0.5263157894736843,-1.0,0.5,0.5,-0.9997878337425399,-0.9976490495414083,0.8133475797916077,0.1866524202083923,-1,1
7565,nuclear power plant,website,geographical_entity,creative_work,-1,True,-1.0,-1.0,-0.9993172106636854,-0.9993172106636854,-0.5,-0.5,0.8021175864679696,0.19788241353203037,-1,1
6665,lake,tea company,geographical_entity,organization,1,True,1.0,1.0,0.5,0.5,-0.5,0.9925034587978727,0.23707648829111794,0.7629235117088821,1,1
11714,wind turbine,skyscraper,man-made_object,man-made_object,1,False,-1.0,-1.0,-0.9889278221696545,-0.9889278221696545,0.5,0.9782712070705808,0.28048972602700906,0.7195102739729909,1,1
6320,journalist,airport,occupation,geographical_entity,1,True,1.0,1.0,0.9882784863680857,0.9882784863680857,0.9951900684976502,-0.023204116111289697,0.24457265302852937,0.7554273469714706,1,1
4625,film,national dance,creative_work,creative_work,1,False,1.0,1.0,0.9986279620891363,0.9986279620891363,-0.5,0.9999983871860719,0.19040303343590026,0.8095969665640997,1,1
4580,fast food restaurant,submarine,organization,man-made_object,1,True,-0.9473684210526316,-1.0,0.0,0.0,0.9984563199363632,0.993642126469903,0.1428140654369855,0.8571859345630145,1,1
5876,hospital,wind turbine,organization,man-made_object,-1,True,1.0,1.0,0.9999071999629607,0.9999071999629607,-0.5,-0.9771666247306781,0.7067431492760161,0.2932568507239839,-1,1
11615,volcano,song,geographical_entity,creative_work,-1,True,-0.6842105263157895,-1.0,-0.5,-0.5,0.5,-0.5,0.6303641902325214,0.36963580976747856,-1,1
10739,spider,university,species,organization,1,True,-0.8421052631578947,-1.0,0.0048054414039439,0.0048054414039439,0.5,0.9836053755822417,0.1845232875216969,0.8154767124783031,1,1
11987,zoo,travel agency,geographical_entity,organization,-1,True,0.9473684210526316,1.0,0.9984309147562328,0.9984309147562328,-0.9935785370078962,-0.9940940093964148,0.7675160819884151,0.23248391801158483,-1,1
9923,school teacher,hospital,occupation,organization,1,True,-0.9473684210526316,-1.0,-0.9998147646445297,-0.9998147646445297,0.9970815075676132,0.5,0.33868574760165204,0.661314252398348,1,1
11219,tree,school teacher,species,occupation,-1,True,-0.8947368421052632,-1.0,-0.975034497528542,-0.975034497528542,-0.5,-1.0,0.878156819772028,0.121843180227972,-1,1
1259,animation feature film,oil tanker,creative_work,man-made_object,-1,True,1.0,1.0,0.9813528582564962,0.9813528582564962,-0.9999313019497447,-0.4999605836731644,0.6514962359377793,0.3485037640622207,-1,1
